Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Notes,Brand,Best_For,Image_Url,Deal_Stat,Deal_Link,Budget,Final_Budget,Rate_From_10,Type
"EGP 28,999.00",Dell Vostro 15 3530,"13th Gen Intel® Core™ i7-1355U Processor 12M Cache, up to 5.00 GHz",Intel UHD Graphics,8 GB,Unspecified,512GB SSD,"15.6"" FHD","Professional,https://2b.com.eg/en/dell-vostro-15-3530-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-grey.html,In stock",Dell,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd212-1.jpg,In stock,https://2b.com.eg/en/dell-vostro-15-3530-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-grey.html,Low,"EGP 28,999.00 'Low'",-,Deal
"EGP 16,499.00",Dell Vostro 3520,"12th Generation Intel® Core™ i3-1215U Processor 10M Cache, up to 4.40 GHz, with IPU",Intel UHD Graphics,8 GB,Unspecified,"512 GB, M.2 2230, PCIe NVMe Gen3 x4, SSD",15.6 FHD,"Professional,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-black.html,In stock Only 2 left",Dell,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd147.png,In stock Only 2 left,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-black.html,Low,"EGP 16,499.00 'Low'",-,Deal
"EGP 14,999.00",Dell Vostro 3520,"12th Generation Intel® Core™ i3-1215U Processor 10M Cache, up to 4.40 GHz, with IPU",Intel UHD Graphics,4 GB,Unspecified,-,15.6 FHD 1920 x 1080,"Professional,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html,In stock",Dell,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/d/zd147_1.png,In stock,https://2b.com.eg/en/dell-vostro-3520-laptop-intelr-coretm-i3-1215u-4gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-ubuntu-carbon-black.html,Low,"EGP 14,999.00 'Low'",-,Deal
"EGP 19,999.00",MSI Modern 14 C12MO,"12 Gen. Intel® Core™ i5-1235U Processor 12M Cache, up to 4.40 GHz, with IPU",Intel® Iris® Xe Graphics,8 GB,Unspecified,-,"14.0"" FHD (1920x1080)","Professional,https://2b.com.eg/en/msi-modern-14-c12mo-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-iris-xe-graphics-14-fhd-urban-silver.html,In stock",MSI,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/m/zm988-1.png,In stock,https://2b.com.eg/en/msi-modern-14-c12mo-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-iris-xe-graphics-14-fhd-urban-silver.html,Low,"EGP 19,999.00 'Low'",-,Deal
"EGP 61,999.00",Lenovo Ideapad 5 Pro 16IMH9,"Intel® Core™ Ultra 5 125H, 14C (4P + 8E + 2LPE) / 18T, Max Turbo up to 4.5GHz, 18MB",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,16 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"16"" 2K (2048x1280) OLED","Professional,https://2b.com.eg/en/lenovo-ideapad-5-pro-16imh9-laptop-intelr-coretm-ultra-5-125h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-16-2k-oled-win11-arctic-grey.html,In stock",Lenovo,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl478-1.png,In stock,https://2b.com.eg/en/lenovo-ideapad-5-pro-16imh9-laptop-intelr-coretm-ultra-5-125h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-16-2k-oled-win11-arctic-grey.html,High/Extreme-High,"EGP 61,999.00 'High/Extreme-High'",-,Deal
"EGP 34,999.00",HP ProBook 470 G9,"12th Gen Intel® Core™ i7-1255U Processor 12M Cache, up to 4.70 GHz",NVIDIA® GeForce® MX550 2GB,8 GB,Unspecified,512 GB PCIe NVMe M.2 Solid-State Drive,"17.3"" FHD","Professional,https://2b.com.eg/en/hp-probook-470-g9-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-nvidiar-geforcer-mx550-2gb-17-3-fhd-silver.html,In stock",HP,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh315-1-2b_1_1.jpg,In stock,https://2b.com.eg/en/hp-probook-470-g9-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-nvidiar-geforcer-mx550-2gb-17-3-fhd-silver.html,Low,"EGP 34,999.00 'Low'",-,Deal
"EGP 26,199.00",HP 15-fd0069ne,"13th Gen Intel® Core™ i5-1334U Processor 12M Cache, up to 4.60 GHz",Intel® Iris® Xe Graphics,16 GB,Unspecified,512 GB PCIe® NVMe™ M.2 SSD,"15.6"" FHD 1920 x 1080","Professional,https://2b.com.eg/en/hp-15-fd0069ne-laptop-intelr-coretm-i5-1334u-16gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html,In stock Only 1 left",HP,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh498-1.jpg,In stock Only 1 left,https://2b.com.eg/en/hp-15-fd0069ne-laptop-intelr-coretm-i5-1334u-16gb-512gb-ssd-intelr-irisr-x-graphics-15-6-fhd-win11-natural-silver.html,Low,"EGP 26,199.00 'Low'",-,Deal
"EGP 79,999.00",ASUS Zenbook 14 UX3407RA-QD010W,Snapdragon® X Elite X1E 78 100,Qualcomm® Adreno™ GPU,32 GB,Unspecified,1TB M.2 NVMe™ PCIe® 4.0 SSD,14.0'' WUXGA OLED,"Professional,https://2b.com.eg/en/asus-zenbook-a14-ux3407ra-qd010w-laptop-snapdragonr-x-elite-x1e-78-100-32gb-1tb-ssd-qualcommr-adrenotm-14-wuxga-oled-win-11-iceland-grey-pre-order.html,In stock Only 4 left",Asus,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/m/a/mas-1.jpg,In stock Only 4 left,https://2b.com.eg/en/asus-zenbook-a14-ux3407ra-qd010w-laptop-snapdragonr-x-elite-x1e-78-100-32gb-1tb-ssd-qualcommr-adrenotm-14-wuxga-oled-win-11-iceland-grey-pre-order.html,High/Extreme-High,"EGP 79,999.00 'High/Extreme-High'",-,Deal
"EGP 19,099.00",X1504ZA-NJ005W,"12 Gen. Intel® Core™ i5-1235U Processor 12M Cache, up to 4.40 GHz, with IPU",Intel UHD Graphics,8 GB,Unspecified,512GB M.2 NVMe™ PCIe® 4.0 SSD,15.6'' FHD,"Professional,https://2b.com.eg/en/asus-vivobook-15-x1504za-nj005w-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-quiet-blue.html,Out Of Stock",Asus,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu614.png,Out Of Stock,https://2b.com.eg/en/asus-vivobook-15-x1504za-nj005w-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-quiet-blue.html,Low,"EGP 19,099.00 'Low'",-,Deal
"EGP 34,499.00",HP 15-fd0371nia,"13th Gen Intel® Core™ i7-1355U Processor 12M Cache, up to 5.00 GHz",NVIDIA® GeForce® MX570 2GB GDDR6,8 GB,Unspecified,512 GB PCIe® NVMe™ M.2 SSD,"(15.6"") FHD (1920 x 1080)","Professional,https://2b.com.eg/en/hp-15-fd0371nia-laptop-intelr-core-i7-1355u-8gb-512gb-ssd-nvidiar-geforcer-mx570-2gb-15-6-fhd-silver.html,In stock",HP,Professional,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/h/zh459-1_1_1.png,In stock,https://2b.com.eg/en/hp-15-fd0371nia-laptop-intelr-core-i7-1355u-8gb-512gb-ssd-nvidiar-geforcer-mx570-2gb-15-6-fhd-silver.html,Low,"EGP 34,499.00 'Low'",-,Deal
