Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Notes,Brand,Best_For,Image_Url,Deal_Stat,Deal_Link,Budget,Final_Budget,Rate_From_10,Type
"EGP 8,999.00",ASUS X515MA-BR001,"Intel® Celeron® N4020 Processor 1.1 GHz (4M Cache, up to 2.8 GHz, 2 cores)",Intel® UHD Graphics,4 GB,Unspecified,256GB M.2 NVMe™ PCIe® 3.0 SSD,15.6-inch HD (1366 x 768),"Student,https://2b.com.eg/en/asus-x515ma-br001-laptop-intelr-celeronr-n4020-4gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-slate-grey.html,In stock",Asus,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu580-1.jpg,In stock,https://2b.com.eg/en/asus-x515ma-br001-laptop-intelr-celeronr-n4020-4gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-slate-grey.html,Low,"EGP 8,999.00 'Low'",-,Deal
"EGP 14,999.00",Acer Aspire 3 A315-59-31LZ Slim,"12th Gen Intel® Core™ i3-1215U Processor 10M Cache, up to 4.40 GHz, with IPU",Intel UHD Graphics,8 GB,Unspecified,512GB SSD,15.6 FHD (1920 x 1080),"Student,https://2b.com.eg/en/acer-aspire-3-a315-59-31lz-slim-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-silver.html,In stock",Acer,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/c/zc562-1.jpg,In stock,https://2b.com.eg/en/acer-aspire-3-a315-59-31lz-slim-laptop-intelr-coretm-i3-1215u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-silver.html,Low,"EGP 14,999.00 'Low'",-,Deal
"EGP 13,199.00",E1504GA-NJ606W,"Intel® Core™ i3-N305 Processor 6M Cache, up to 3.80 GHz",Intel UHD Graphics,4 GB,Unspecified,256G SSD,15.6'' FHD,"Student,https://2b.com.eg/en/asus-vivobook-go-15-e1504ga-nj606w-laptop-intelr-coretm-i3-n305-4gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-black.html,In stock",Asus,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/u/zu439-1.jpg,In stock,https://2b.com.eg/en/asus-vivobook-go-15-e1504ga-nj606w-laptop-intelr-coretm-i3-n305-4gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-win11-black.html,Low,"EGP 13,199.00 'Low'",-,Deal
"EGP 18,999.00",Acer Aspire 3 A315-59-58XR Slim,"12th Gen Intel® Core™ i5-1235U Processor 12M Cache, up to 4.40 GHz, with IPU",Intel UHD Graphics,8 GB,Unspecified,512GB PCIe SSD,15.6 FHD (1920 x 1080),"Student,https://2b.com.eg/en/acer-aspire-3-a315-59-58xr-slim-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html,In stock",Acer,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/c/zc563.jpg,In stock,https://2b.com.eg/en/acer-aspire-3-a315-59-58xr-slim-laptop-intelr-coretm-i5-1235u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html,Low,"EGP 18,999.00 'Low'",-,Deal
"EGP 11,499.00",Lenovo Ideapad 1 15IGL7,"Intel® Celeron® N4020 (2C / 2T, 1.1 / 2.8GHz, 4MB)",Intel® UHD Integrated Graphics,8 GB,Unspecified,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1366x768)","Student,https://2b.com.eg/en/lenovo-ideapad-1-15igl7-laptop-intelr-celeronr-n4020-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-abyss-blue.html,In stock",Lenovo,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl459_1.png,In stock,https://2b.com.eg/en/lenovo-ideapad-1-15igl7-laptop-intelr-celeronr-n4020-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-abyss-blue.html,Low,"EGP 11,499.00 'Low'",-,Deal
"EGP 17,199.00",Lenovo Ideapad 1 15IAU7,"Intel® Core™ i3-1215U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB",Intel UHD Graphics,8 GB,Unspecified,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" HD (1366x768)","Student,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-abyss-blue.html,In stock Only 1 left",Lenovo,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl434-1_1.png,In stock Only 1 left,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-abyss-blue.html,Low,"EGP 17,199.00 'Low'",-,Deal
"EGP 11,199.00",Lenovo Ideapad 1 15IGL7,"Intel® Celeron® N4020 (2C / 2T, 1.1 / 2.8GHz, 4MB)",Intel® UHD Integrated Graphics,8 GB,Unspecified,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" HD (1366x768)","Student,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-win11-abyss-blue-1.html,Out Of Stock",Lenovo,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl459.png,Out Of Stock,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-integrated-graphics-15-6-hd-win11-abyss-blue-1.html,Low,"EGP 11,199.00 'Low'",-,Deal
"EGP 17,999.00",Lenovo Ideapad 1 15IAU7,"Intel® Core™ i3-1215U, 6C (2P + 4E) / 8T, P-core 1.2 / 4.4GHz, E-core 0.9 / 3.3GHz, 10MB",Intel UHD Graphics,8 GB,Unspecified,256GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" HD (1366x768)","Student,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-win11-abyss-blue.html,In stock",Lenovo,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl434-1_1_1.png,In stock,https://2b.com.eg/en/lenovo-ideapad-1-15iau7-laptop-intelr-coretm-i3-1215u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-hd-win11-abyss-blue.html,Low,"EGP 17,999.00 'Low'",-,Deal
"EGP 23,699.00",Lenovo IdeaPad Slim 3 15AMN8,"AMD Ryzen™ 5 7520U (4C / 8T, 2.8 / 4.3GHz, 2MB L2 / 4MB L3)",AMD Radeon™ Graphics,8 GB,Unspecified,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080)","Student,https://2b.com.eg/en/lenovo-ideapad-slim-3-15amn8-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html,In stock Only 5 left",Lenovo,Student,https://2b.com.eg/media/catalog/product/cache/661473ab953cdcdf4c3b607144109b90/z/l/zl379.png,In stock Only 5 left,https://2b.com.eg/en/lenovo-ideapad-slim-3-15amn8-amd-ryzentm-5-7520u-8gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html,Low,"EGP 23,699.00 'Low'",-,Deal
