360X,Student,Gaming,Professional
,,https://2b.com.eg/en/hp-victus-15-fa0025nr-laptop-intelr-core-i5-12500h-8gb-512gb-ssd-nvidiar-geforcer-rtx-3050-4gb-15-6-fhd-win11-mica-silver.html,https://2b.com.eg/en/hp-15-fc0034ne-laptop-amd-ryzentm-7-7730u-16gb-512gb-ssd-amd-radeontm-graphics-15-6-fhd-win11-natural-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0043ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4060-8gb-16-1-fhd-blue.html,https://2b.com.eg/en/lenovo-ideapad-slim-3-15iru8-laptop-intelr-coretm-i3-1315u-8gb-256gb-ssd-intelr-uhd-graphics-15-6-fhd-grey.html
,,https://2b.com.eg/en/lenovo-legion-5-pro-16irx9-laptop-intelr-coretm-i7-14650hx-16gb-1tbssd-nvidiar-geforcer-rtx-4060-8gb-16-wuxga-grey.html,https://2b.com.eg/en/asus-vivobook-15-x1504va-nj1007-laptop-intelr-coretm-i7-1355u-16gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-quiet-blue.html
,,https://2b.com.eg/en/asus-rog-zephyrus-g16-gu605my-qr061w-laptop-intelr-ultra-9-185h-32gb-2tb-ssd-nvidiar-geforce-rtx-4090-16gb-16-2-5k-wqxga-win11-gray.html,https://2b.com.eg/en/lenovo-ideapad-slim-3-15irh8-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-intelr-uhd-integrated-graphics-15-6-fhd-arctic-grey.html
,,https://2b.com.eg/en/hp-omen-16-wf0004ne-laptop-intelr-coretm-i7-13700hx-32gb-1tb-ssd-nvidiar-geforce-rtx-4080-12gb-16-1-qhd-win11-black.html,https://2b.com.eg/en/asus-zenbook-a14-ux3407ra-qd010w-laptop-snapdragonr-x-elite-x1e-78-100-32gb-1tb-ssd-qualcommr-adrenotm-14-wuxga-oled-win-11-iceland-grey-pre-order.html
,,https://2b.com.eg/en/hp-victus-16-r0068ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4060-8gb-16-qhd-win11-blue.html,https://2b.com.eg/en/lenovo-ideapad-5-slim-16imh9-laptop-intelr-coretm-ultra-5-125h-16gb-512gb-ssd-intelr-arctm-graphics-16-wuxga-win11-grey.html
,,https://2b.com.eg/en/hp-victus-15-fa1109ne-laptop-intelr-core-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-6gb-15-6-fhd-win11-blue.html,https://2b.com.eg/en/hp-pavilion-aero-13-be2003ne-laptop-amd-ryzen-r5-7535u-8gb-512gb-ssd-amd-radeon-graphics-13-3-wuxga-win11-natural-silver.html
,,https://2b.com.eg/en/msi-thin-15-b13ve-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-gray.html,https://2b.com.eg/en/hp-spectre-x360-14-eu0011ne-laptop-intelr-coretm-ultra-7-155h-16gb-1tb-ssd-intelr-arctm-graphics-14-fhd-3k-win11-dark-black-aluminum.html
,,https://2b.com.eg/en/msi-thin-15-b13uc-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforce-rtx-3050-4gb-15-6-fhd-gray.html,https://2b.com.eg/en/msi-modern-15-f13mg-laptop-intelr-coretm-i5-1335u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-urban-silver.html
,,https://2b.com.eg/en/lenovo-loq-15arp9-laptop-amd-ryzen-7-7435hs-24gb-1tb-ssd-nvidiar-geforcer-rtx-4070-8gb-15-6-fhd-win-11-gray.html,https://2b.com.eg/en/asus-vivobook-16x-k3605vv-n1116w-laptop-intelr-coretm-i7-13700h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-0-wuxga-win11-black.html
,,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtx-4060-8gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/asus-vivobook-go-15-e1504fa-nj001-laptop-amd-ryzen-r3-7320u-4gb-256gb-ssd-amd-radeontm-graphics-15-6-fhd-gray.html
,,https://2b.com.eg/en/acer-nitro-v15-anv15-51-755s-laptop-intelr-coretm-i7-13620h-16gb-512gb-ssd-nvidiar-geforcer-rtx-4050-6gb-15-6-fhd-black.html,https://2b.com.eg/en/hp-15-fd0371nia-laptop-intelr-core-i7-1355u-8gb-512gb-ssd-nvidiar-geforcer-mx570-2gb-15-6-fhd-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0027ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4070-8gb-16-1-fhd-mica-silver.html,https://2b.com.eg/en/hp-15-fd0346nia-laptop-intelr-core-i7-1355u-8gb-512gb-ssd-intelr-iris-xe-graphics-15-6-fhd-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0047nia-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtx-4060-8gb-16-1-fhd-blue.html,https://2b.com.eg/en/dell-vostro-15-3530-laptop-intelr-coretm-i7-1355u-8gb-512gb-ssd-intelr-uhd-graphics-15-6-fhd-grey.html
,,https://2b.com.eg/en/hp-victus-16-r0059wm-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4060-8gb-16-1-fhd-mica-silver.html,https://2b.com.eg/en/hp-probook-470-g9-laptop-intelr-coretm-i7-1255u-8gb-512gb-ssd-nvidiar-geforcer-mx550-2gb-17-3-fhd-silver.html
,,https://2b.com.eg/en/hp-victus-16-r0046ne-laptop-intelr-coretm-i7-13700h-16gb-1tb-ssd-nvidiar-geforce-rtxtm-4050-6gb-16-1-fhd-performance-blue.html,https://2b.com.eg/en/lenovo-ideapad-5-pro-16imh9-laptop-intelr-coretm-ultra-5-125h-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-16-2k-oled-win11-arctic-grey.html
,,https://2b.com.eg/en/asus-tuf-gaming-a15-fa506ncr-hn007w-laptop-amd-ryzentm-7-7435hs-8gb-512gb-ssd-nvidiar-geforcer-rtxtm-3050-4gb-15-6-fhd-win11-off-black.html,https://2b.com.eg/en/lenovo-ideapad-3-slim-15abr8-laptop-amd-ryzentm-7-7730u-8gb-512gb-ssd-integrated-amd-radeontm-graphics-15-6-fhd-win11-arctic-grey.html
,,https://2b.com.eg/en/lenovo-loq-15irx9-laptop-intelr-coretm-i7-13650hx-16gb-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15-6-fhd-luna-grey.html,https://2b.com.eg/en/hp-15-fc00036ne-laptop-amd-ryzentm-r7-7730u-16gb-512gb-ssd-amd-radeontm-integrated-graphics-14-fhd-win11-black.html
