Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
$1229,Lenovo ThinkPad X1 Carbon,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",Medium/Med-High,10,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20X1%20Carbon%205th%20gen.jpg,programming,$1229 'Medium/Med-High',programming,Lenovo,Top
$1246,LG Gram 15 (8th Gen),i5-8250U,Intel UHD Graphics 620,8GB,-,256GB,"15.6"" 1920x1080 IPS",Medium/Med-High,7,http://lappylist.com/images/laptop2018/LG%20Gram%2015.jpg,mainstream,$1246 'Medium/Med-High',mainstream,LG,Top
$1249,Lenovo Yoga 900s,m7-6Y75,Intel Graphics 515,8GB,-,256GB PCIe,"12.5"" 2560x1440 IPS Touch",Medium/Med-High,8,http://lappylist.com/images/laptop/Lenovo%20Yoga%20900s.jpg,convertible,$1249 'Medium/Med-High',convertible,Lenovo,Top
$1279,Dell Latitude 15 E5590*,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"15.6"" 1920x1080 IPS",Medium/Med-High,10,http://www.lappylist.com/images/laptop/Dell%20Latitude%20E5550.jpg,programming,$1279 'Medium/Med-High',programming,Dell,Top
$1279,HP Elitebook 1040 G4,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",Medium/Med-High,9,http://lappylist.com/images/laptop/HP%20Elitebook%201040%20G3.jpg,programming,$1279 'Medium/Med-High',programming,HP,Top
$1298,Asus ROG Zephyrus G14,Ryzen 9 4900HS,NVIDIA RTX 2060 6GB,16GB,-,1TB,"14.0"" 1920x1080 120hz IPS",Medium/Med-High,8,https://lappylist.com/images/2020_laptop/Asus_ROG_Zephyrus_G14.jpg,gaming,$1298 'Medium/Med-High',gaming,Asus,Top
$1299,Dell XPS 15 9560 (i5),i5-7300HQ,Nvidia GTX 1050,8GB,-,256GB,"15.6"" 3840x2160 IPS Touch",Medium/Med-High,10,http://lappylist.com/images/laptop/Dell%20XPS%2015%209560.jpg,"programming,mainstream",$1299 'Medium/Med-High',"programming,mainstream",Dell,Top
$1299,Microsoft Surface Pro,i5-7300U,Intel Graphics 620,8GB,-,256GB,"12.3"" 2736x1824 IPS Touch",Medium/Med-High,9,http://lappylist.com/images/laptop/Microsoft%20Surface%20Pro%204.jpg,ultraportable,$1299 'Medium/Med-High',ultraportable,Microsoft,Top
$1322,Lenovo ThinkPad 370*,i5-7200U,Intel Graphics 620,8GB,`,128GB,"13.3"" 1920x1080 IPS Touch w/ Pen",Medium/Med-High,9,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20Yoga%20370.jpg,convertible,$1322 'Medium/Med-High',convertible,Lenovo,Top
$1327,Lenovo ThinkPad P40 Yoga,i7-6500U,Nvidia Quadro M500M,8GB,-,256GB,"14.1"" 1920x1080 IPS Touch w/ Pen",Medium/Med-High,10,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20P40%20Yoga.jpg,convertible,$1327 'Medium/Med-High',convertible,Lenovo,Top
$1399,Dell XPS 15 9560 (i7 refurb),i5-7700HQ,Nvidia GTX 1050,16GB,-,512GB PCIe,"15.6"" 3840x2160 IPS Touch",High/Extreme-High,10,http://lappylist.com/images/laptop/Dell%20XPS%2015%209560.jpg,"programming,mainstream",$1399 'High/Extreme-High',"programming,mainstream",Dell,Top
$1399,Lenovo Legion Y545 2060,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 60hz",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Lenovo_Legion_Y545.jpg,gaming,$1399 'High/Extreme-High',gaming,Lenovo,Top
$1449,Asus ROG Strix G15,Core i7-10750H,NVIDIA RTX 2070 8GB,16GB,-,1TB,"15.6"" 1920x1080 240Hz IPS",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Asus_ROG_Strix_G15.jpg,gaming,$1449 'High/Extreme-High',gaming,Asus,Top
$1449,Lenovo Legion Y740 1660,Core i7-9750H,NVIDIA GTX 1660 Ti 6GB,16GB,1TB,256GB,"17.3"" 1920x1080 144hz IPS",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Lenovo_Legion_Y740.jpg,gaming,$1449 'High/Extreme-High',gaming,Lenovo,Top
$1499,Asus Zenbook UX390UA,i7-7500U,Intel Graphics 620,16GB,-,512GB PCIe,"12.5"" 1920x1080 IPS",High/Extreme-High,10,http://lappylist.com/images/laptop/Asus%20Zenbook%20UX390UA.jpg,ultraportable,$1499 'High/Extreme-High',ultraportable,Asus,Top
$1499,Dell Latitude 14 E7490,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"14.1"" 1920x1080 IPS",High/Extreme-High,10,http://www.lappylist.com/images/laptop/Dell%20Latitude%20E7450.jpg,programming,$1499 'High/Extreme-High',programming,Dell,Top
$1499,Razer Blade 15,Core i7-10750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Razer_Blade_15.jpg,gaming,$1499 'High/Extreme-High',gaming,Razer,Top
$1555,Asus Zenbook UX550VE,i5-7700HQ,Nvidia GTX 1050 Ti,16GB,-,512GB PCIE,"15.6"" 1920x1080 IPS Touch",High/Extreme-High,10,http://lappylist.com/images/laptop2018/Asus%20Zenbook%20Pro%20UX550VE.jpg,"programming,mainstream",$1555 'High/Extreme-High',"programming,mainstream",Asus,Top
$1559,MSI Bravo 15,Ryzen 7 4800H,Radeon RX5500M 4GB,32GB,-,1TB,"15.6"" 1920x1080 144Hz IPS",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/MSI_Bravo_15.jpg,gaming,$1559 'High/Extreme-High',gaming,MSI,Top
$1572,Alienware m15 R3,Core i7-10750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 300hz",High/Extreme-High,8,https://lappylist.com/images/2020_laptop/Alienware_m15_R3.jpg,gaming,$1572 'High/Extreme-High',gaming,Alienware,Top
